name,enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,futureType,baseCurrency,isEtfMarket,quoteCurrency,underlying,restricted,highLeverageFeeExempt,largeOrderThreshold,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h,priceHigh24h,priceLow24h,tokenizedEquity
1INCH-PERP,True,False,0.0001,1.0,1.0,0.5797,0.5799,0.58,0.5799,future,perpetual,,False,,1INCH,False,False,350.0,-0.0054879094494940835,-0.00565843621399177,-0.011758691206543968,3085668.3633,3085668.3633,0.5932,0.5773,
1INCH-0930,True,False,0.0001,1.0,1.0,0.5805,0.5765,0.5813,0.5805,future,future,,False,,1INCH,False,False,350.0,0.001725625539257981,0.003804253847484005,-0.007013342456380431,6184.7268,6184.7268,0.5895,0.5759,
1INCH-1230,True,False,0.0001,1.0,1.0,0.5619,0.5594,0.5639,0.5619,future,future,,False,,1INCH,False,False,350.0,-0.004429482636428065,-0.0033699893579283435,-0.006541725601131542,9383.8106,9383.8106,0.572,0.5611,
1INCH/USD,True,False,0.0001,1.0,1.0,0.58,0.5803,0.5808,0.5803,spot,,1INCH,False,USD,,False,True,280.0,-0.005995203836930456,-0.004631217838765009,-0.011750681198910082,1320366.657,1320366.657,0.5937,0.5775,
AAPL-0930,True,False,0.01,0.01,0.01,146.93,146.37,147.63,146.93,future,future,,False,,AAPL,True,False,350.0,0.0,-0.0050785482123510296,-0.020727805918421754,42103.7165,42103.7165,150.73,145.13,True
AAPL-1230,True,False,0.01,0.01,0.01,146.46,146.4,147.14,146.46,future,future,,False,,AAPL,True,False,350.0,0.0004098360655737705,-0.00698352430673266,-0.020334448160535118,95437.7523,95437.7523,150.61,145.0,True
AAPL/USD,True,False,0.01,0.01,0.01,146.58,146.81,146.82,146.81,spot,,AAPL,False,USD,,True,True,280.0,-6.811061163329247e-05,-0.006429344883595019,-0.018912055600106923,188235.2415,188235.2415,150.76,145.06,True
AAVE-PERP,True,False,0.01,0.01,0.01,75.51,75.52,75.54,75.52,future,perpetual,,False,,AAVE,False,False,1200.0,-0.011906319508046579,0.006933333333333333,-0.02100077780658543,9875010.9119,9875010.9119,77.72,74.64,
AAVE-0930,True,False,0.01,0.01,0.01,74.44,75.25,75.95,75.25,future,future,,False,,AAVE,False,False,1200.0,-0.01337354136619903,0.004941239316239316,-0.02247336970641725,0.0,0.0,77.57,74.49,
AAVE-1230,True,False,0.01,0.01,0.01,76.37,74.42,75.44,75.44,future,future,,False,,AAVE,False,False,1200.0,-0.010882391503867838,0.015479876160990712,-0.015914427341507956,577.6431,577.6431,76.98,74.29,
